bid,bname,prog_lang,x,x1,x2,x4
1,Intel Galileo Networking Cookbook,,,,,
2,OpenVPN Cookbook - Second Edition,,,,,
3,Troubleshooting OpenVPN,,,,,
4,OpenVPN:  Building and Integrating Virtual Private Networks,,,,,
5,Getting Started with Simulink,,,,,
6,Zabbix 1.8 Network Monitoring,,,,,
7,Learn Wireshark,,,,,
8,Mastering FreeSWITCH,,,,,
9,"Mastering OpenLDAP: Configuring, Securing and Integrating Directory Services",,,,,
10,TrixBox Made Easy,,,,,
11,Getting Started with MariaDB,,,,,
12,Troubleshooting PostgreSQL,,,,,
13,Mastering PostgreSQL 10,,,,,
14,SAP HANA Cookbook,,,,,
15,Learning Embedded Linux Using the Yocto Project,,,,,
16,Linux: Embedded Development,,,,,
17,Hands-On Network Forensics,,,,,
18,Packet Analysis with Wireshark,,,,,
19,Wireshark 2 Quick Start Guide,,,,,
20,Intel Galileo Networking Cookbook,,,,,
21,OpenVPN Cookbook - Second Edition,,,,,
22,Troubleshooting OpenVPN,,,,,
23,OpenVPN:  Building and Integrating Virtual Private Networks,,,,,
24,Getting Started with Simulink,,,,,
25,Zabbix 1.8 Network Monitoring,,,,,
26,Penetration Testing with the Bash shell,,,,,
27,Kali Linux 2018: Assuring Security by Penetration Testing - Fourth Edition,,,,,
28,Learn Wireshark,,,,,
29,Mastering FreeSWITCH,,,,,
30,"Mastering OpenLDAP: Configuring, Securing and Integrating Directory Services",,,,,
31,TrixBox Made Easy,,,,,
32,FreeSWITCH Cookbook,,,,,
33,Linux Utilities Cookbook,,,,,
34,Linux Email: Set up and Run a Small Office Email Server,,,,,
35,Nginx HTTP Server,,,,,
36,Nginx 1 Web Server Implementation Cookbook,,,,,
37,Nginx HTTP Server - Second Edition,,,,,
38,Mastering Arduino,,,,,
39,Learning C for Arduino,,,,,
40,C Programming for Arduino,,,,,
41,Arduino Robotic Projects,,,,,
42,Construyendo Sistemas telefónicos con Asterisk [Espanol],,,,,
43,Linux Kernel Programming,,,,,
44,Linux Device Drivers Development,,,,,
45,Getting Started with MariaDB,,,,,
46,Troubleshooting PostgreSQL,,,,,
47,Mastering PostgreSQL 10,,,,,
48,SAP HANA Cookbook,,,,,
49,Learning Embedded Linux Using the Yocto Project,,,,,
50,Linux: Embedded Development,,,,,
51,Hands-On Network Forensics,,,,,
52,Packet Analysis with Wireshark,,,,,
53,Wireshark 2 Quick Start Guide,,,,,
54,Intel Galileo Networking Cookbook,,,,,
55,OpenVPN Cookbook - Second Edition,,,,,
56,Troubleshooting OpenVPN,,,,,
57,OpenVPN:  Building and Integrating Virtual Private Networks,,,,,
58,Getting Started with Simulink,,,,,
59,Zabbix 1.8 Network Monitoring,,,,,
60,Penetration Testing with the Bash shell,,,,,
61,Kali Linux 2018: Assuring Security by Penetration Testing - Fourth Edition,,,,,
62,Learn Wireshark,,,,,
63,Mastering FreeSWITCH,,,,,
64,"Mastering OpenLDAP: Configuring, Securing and Integrating Directory Services",,,,,
65,TrixBox Made Easy,,,,,
66,FreeSWITCH Cookbook,,,,,
67,Linux Utilities Cookbook,,,,,
68,Linux Email: Set up and Run a Small Office Email Server,,,,,
69,Nginx HTTP Server,,,,,
70,Nginx 1 Web Server Implementation Cookbook,,,,,
71,Nginx HTTP Server - Second Edition,,,,,
72,Mastering Arduino,,,,,
73,Learning C for Arduino,,,,,
74,C Programming for Arduino,,,,,
75,Arduino Robotic Projects,,,,,
76,Construyendo Sistemas telefónicos con Asterisk [Espanol],,,,,
77,Linux Kernel Programming,,,,,
78,Linux Device Drivers Development,,,,,
79,Angular Test-Driven Development - Second Edition,,,,,
80,AngularJS Testing Cookbook,,,,,
81,Backbone.js Testing,,,,,
82,Getting Started with Grunt: The JavaScript Task Runner,,,,,
83,Jasmine JavaScript Testing - Second Edition,,,,,
84,Jasmine Cookbook,,,,,
85,Jasmine JavaScript Testing,,,,,
86,Instant Mockito,,,,,
87,Mastering SoapUI,,,,,
88,Testing Vue.js Components with Jest,,,,,
89,NativeScript for Angular Mobile Development,,,,,
90,Appcelerator Titanium Smartphone App Development Cookbook,,,,,
91,Appcelerator Titanium Business Application Development Cookbook,,,,,
92,Appcelerator Titanium: Patterns and Best Practices,,,,,
93,Electron Projects,,,,,
94,"Cross-platform Desktop Application Development: Electron, Node, NW.js, and React",,,,,
95,Building Cross-Platform Desktop Applications with Electron,,,,,
96,Ionic Cookbook -Third Edition,,,,,
97,Ionic 2 Cookbook - Second Edition,,,,,
98,Learning Ionic - Second Edition,,,,,
99,Ionic Cookbook,,,,,
100,Ionic Framework By Example,,,,,
101,Hybrid Mobile Development with Ionic,,,,,
102,Ionic 2 Blueprints,,,,,
103,Ionic: Hybrid Mobile App Development,,,,,
104,Learning Ionic,,,,,
105,jQuery Mobile Web Development Essentials - Third Edition,,,,,
106,Creating Mobile Apps with jQuery Mobile,,,,,
107,Mastering jQuery Mobile,,,,,
108,jQuery Mobile First Look,,,,,
109,Creating Mobile Apps with jQuery Mobile - Second Edition,,,,,
110,Learning Node.js for Mobile Application Development,,,,,
111,PhoneGap for Enterprise,,,,,
112,JavaScript Mobile Application Development,,,,,
113,PhoneGap 3 Beginner's Guide,,,,,
114,PhoneGap By Example,,,,,
115,Mastering PhoneGap Mobile Application Development,,,,,
116,PhoneGap and AngularJS for Cross-platform Development,,,,,
117,PhoneGap Essentials,,,,,
118,PhoneGap: Beginner's Guide - Third Edition,,,,,
119,React Native Cookbook - Second Edition,,,,,
120,Mastering React Native,,,,,
121,React Native By Example,,,,,
122,React Native Blueprints,,,,,
123,Getting Started with React Native,,,,,
124,React: Cross-Platform Application Development with React Native,,,,,
125,React Native - Building Mobile Apps with JavaScript,,,,,
126,Sencha Touch 2 Mobile JavaScript Framework,,,,,
127,Creating Mobile Apps with Sencha Touch 2,,,,,
128,Sencha Touch Cookbook,,,,,
129,Sencha Touch Mobile JavaScript Framework,,,,,
130,Data Visualization with D3 and AngularJS,,,,,
131,Data Visualization with D3.js Cookbook,,,,,
132,Data Visualization with D3 4.x Cookbook - Second Edition,,,,,
133,D3.js 4.x Data Visualization - Third Edition,,,,,
134,HTML5 Graphing and Data Visualization Cookbook,,,,,
135,Learning Responsive Data Visualization,,,,,
136,Learning D3.js 5 Mapping - Second Edition,,,,,
137,Data Visualization with d3.js,,,,,
138,Learning D3.js Mapping,,,,,
139,Social Data Visualization with HTML5 and JavaScript,,,,,
140,Expert Data Visualization,,,,,
141,D3.js By Example,,,,,
142,Data Visualization: Representing Information on Modern Web,,,,,
143,FusionCharts Beginner's Guide: The Official Guide for FusionCharts Suite,,,,,
144,Google Visualization API Essentials,,,,,
145,Learning Highcharts,,,,,
146,Learning Highcharts 4,,,,,
147,Kibana Essentials,,,,,
148,OpenLayers 3.x Cookbook - Second Edition,,,,,
149,Sencha Charts Essentials,,,,,
150,Socket.IO Cookbook,,,,,
151,Learn Three.js - Third Edition,,,,,
152,Three.js Cookbook,,,,,
153,Learning Three.js - the JavaScript 3D Library for WebGL (Second Edition),,,,,
154,Learning Three.js: The JavaScript 3D Library for WebGL,,,,,
155,Learning Angular - Third Edition,,,,,
156,"Architecting Angular Applications with Redux, RxJS, and NgRx",,,,,
157,Angular 6 by Example - Third Edition,,,,,
158,Mastering Angular Components - Second Edition,,,,,
159,Expert Angular,,,,,
160,Mastering Angular 2 Components,,,,,
161,Angular 2 Components,,,,,
162,Angular Services,,,,,
163,Learning Web Development with Bootstrap and AngularJS,,,,,
164,Learning Angular - Second Edition,,,,,
165,AngularJS Directives Cookbook,,,,,
166,Building Modern Web Applications Using Angular 4,,,,,
167,AngularJS by Example,,,,,
168,Switching to Angular - Third Edition,,,,,
169,Angular Projects,,,,,
170,Hands-on Full Stack Development with Angular 5 and Firebase,,,,,
171,Angular 2 By Example,,,,,
172,Getting Started with Angular - Second Edition,,,,,
173,AngularJS: Maintaining Web Applications,,,,,
174,AngularJS Web Application Development Blueprints,,,,,
175,AngularJS Directives,,,,,
176,Data-oriented Development with AngularJS,,,,,
177,AngularJS Services,,,,,
178,AngularJS Essentials,,,,,
179,AngularJS Deployment Essentials,,,,,
180,Mastering Web Application Development with AngularJS,,,,,
181,Backbone.js Blueprints,,,,,
182,Mastering Backbone.js,,,,,
183,Getting Started with Backbone Marionette,,,,,
184,Backbone.js Essentials,,,,,
185,Backbone.js Cookbook,,,,,
186,Mastering Ext JS - Second Edition,,,,,
187,Ext JS 3.0 Cookbook,,,,,
188,Ext JS Data-driven Application Design,,,,,
189,Learning Ext JS 3.2,,,,,
190,Ext.NET Web Application Development,,,,,
191,Mastering Ext JS,,,,,
192,Ext JS Application Development Blueprints,,,,,
193,Ext JS Essentials,,,,,
194,jQuery UI Cookbook,,,,,
195,Mastering jQuery UI,,,,,
196,jQuery UI Themes Beginner's Guide,,,,,
197,Instant jQuery UI Starter,,,,,
198,jQuery UI 1.6: The User Interface Library for jQuery,,,,,
199,Learning jQuery 3 - Fifth Edition,,,,,
200,jQuery UI 1.10: The User Interface Library for jQuery,,,,,
201,jQuery 2.0 Development Cookbook,,,,,
202,Mastering jQuery,,,,,
203,jQuery Plugin Development Beginner's Guide,,,,,
204,jQuery 1.4 Reference Guide,,,,,
205,jQuery HOTSHOT,,,,,
206,jQuery for Designers: Beginner's Guide,,,,,
207,jQuery 2.0 Animation Techniques: Beginner's Guide,,,,,
